Player,Country,Matches,Innings,Not Outs,Runs,HS,Avg,BF,SR,100,50,0,4s,6s
D Elgar ,SA,7,13,1,377,96*,31.41,988,38.15,0,3,2,43,0
D Myers ,ZIM,1,2,0,53,27,26.5,153,34.64,0,0,0,1,3
D Olivier ,SA,3,4,3,12,10*,12,67,17.91,0,0,0,2,0
DA Warner ,AUS,8,13,0,442,95,34,820,53.9,0,4,2,56,5
DJ Malan ,ENG,7,13,0,350,82,26.92,860,40.69,0,3,1,49,0
DJ Mitchell ,NZ,5,7,0,177,60,25.28,388,45.61,0,2,0,19,4
DM de Silva ,SL,7,12,1,512,166,46.54,969,52.83,2,1,0,51,3
DP Conway ,NZ,7,12,0,767,200,63.91,1507,50.89,3,3,0,94,3
DP Sibley ,ENG,4,8,1,160,60*,22.85,563,28.41,0,1,2,14,0
DT Tiripano ,ZIM,3,6,1,107,52,21.4,269,39.77,0,1,1,14,0
DW Lawrence ,ENG,6,11,1,303,91,30.3,465,65.16,0,2,4,38,4
Ebadot Hossain ,BAN,6,8,5,4,4,1.33,37,10.81,0,0,2,1,0
Faheem Ashraf ,PAK,6,8,0,141,44,17.62,333,42.34,0,0,2,18,1
Fawad Alam ,PAK,9,11,2,416,140,46.22,764,54.45,2,2,2,54,0
FDM Karunaratne ,SL,7,13,0,948,244,72.92,1706,55.56,4,3,0,115,1
GA Stuurman ,SA,1,2,0,11,11,5.5,31,35.48,0,0,1,2,0
GH Vihari ,INDIA,3,5,1,184,58,46,425,43.29,0,1,0,22,0
H Hameed ,ENG,7,13,0,220,68,16.92,731,30.09,0,2,4,27,0
Hasan Ali ,PAK,8,10,0,123,30,12.3,151,81.45,0,0,3,9,8
HDRL Thirimanne ,SL,5,9,0,319,140,35.44,727,43.87,1,2,2,37,0
HE van der Dussen ,SA,7,13,2,339,75*,30.81,908,37.33,0,1,0,26,1
HM Nicholls ,NZ,9,14,0,392,105,28,836,46.88,1,2,2,48,0
I Sharma ,INDIA,4,7,2,39,16,7.8,95,41.05,0,0,1,4,0
Iftikhar Ahmed ,PAK,1,1,1,13,13*,-,21,61.9,0,0,0,1,0
Imam-ul-Haq ,PAK,3,6,1,370,157,74,903,40.97,2,1,0,33,4
Imran Butt ,PAK,4,6,0,142,91,23.66,349,40.68,0,1,1,13,0
J Blackwood ,WI,10,19,0,528,102,27.78,1141,46.27,1,1,0,63,2
J Da Silva ,WI,10,18,5,360,100*,27.69,1087,33.11,1,1,3,35,0
J Yadav ,INDIA,2,3,0,20,12,6.66,60,33.33,0,0,0,2,1
JA Richardson ,AUS,1,2,0,17,9,8.5,7,242.85,0,0,0,0,2
JA Warrican ,WI,3,6,0,13,6,2.16,60,21.66,0,0,0,1,0
JC Buttler ,ENG,7,13,1,179,39,14.91,580,30.86,0,0,3,23,0
JD Campbell ,WI,4,8,1,127,35,18.14,271,46.86,0,0,0,16,0
JE Root ,ENG,14,27,1,1272,180*,48.92,2413,52.71,5,4,3,138,0
JJ Bumrah ,INDIA,10,16,5,131,34*,11.9,228,57.45,0,0,6,15,3
JL Solozano ,WI,1,-,-,-,-,-,-,-,-,-,-,-,-
JM Anderson ,ENG,9,16,9,29,8*,4.14,129,22.48,0,0,2,4,0
JM Bairstow ,ENG,9,17,1,604,140,37.75,1160,52.06,2,1,2,68,6
JNT Seales ,WI,7,11,6,30,13,6,147,20.4,0,0,2,3,1
JO Holder ,WI,10,19,2,419,71*,24.64,834,50.23,0,2,4,52,7
JR Bracey ,ENG,2,3,0,8,8,2.66,27,29.62,0,0,2,1,0
JR Hazlewood ,AUS,2,2,2,0,0*,-,6,0,0,0,0,0,0
K Rabada ,SA,7,11,1,158,47,15.8,228,69.29,0,0,4,18,6
K Verreynne ,SA,6,9,1,248,136*,31,477,51.99,1,0,1,26,1
KA Jamieson ,NZ,8,12,1,125,23,11.36,289,43.25,0,0,2,9,1
KA Maharaj ,SA,6,9,0,124,36,13.77,241,51.45,0,0,1,18,0
KAJ Roach ,WI,9,14,2,171,30*,14.25,456,37.5,0,0,0,22,4
KC Brathwaite ,WI,10,20,2,841,160,46.72,2222,37.84,2,5,2,89,1
KD Petersen ,SA,5,9,0,320,82,35.55,588,54.42,0,3,0,42,0
Khaled Ahmed ,BAN,1,2,0,0,0,0,9,0,0,0,2,0,0
KIC Asalanka ,SL,3,6,0,88,29,14.66,171,51.46,0,0,0,11,3
KL Rahul ,INDIA,7,14,0,541,129,38.64,1280,42.26,2,2,1,73,3
KOA Powell ,WI,4,7,0,102,51,14.57,222,45.94,0,1,1,17,0
KR Mayers ,WI,8,15,1,306,55,21.85,473,64.69,0,1,4,43,2
KS Williamson ,NZ,3,6,1,157,52*,31.4,494,31.78,0,1,0,21,0
KT Kasuza ,ZIM,2,4,0,54,28,13.5,176,30.68,0,0,1,5,1
L Embuldeniya ,SL,5,8,1,67,39,9.57,255,26.27,0,0,1,4,2
L Ngidi ,SA,5,7,1,10,6,1.66,56,17.85,0,0,3,1,0
L Sipamla ,SA,1,2,1,10,10*,10,33,30.3,0,0,1,1,0
LD Chandimal ,SL,3,6,2,113,45,28.25,278,40.64,0,0,0,13,0
Liton Das ,BAN,7,11,0,590,114,53.63,995,59.29,2,4,0,71,3
LM Jongwe ,ZIM,1,2,0,56,37,28,94,59.57,0,0,0,10,0
LRPL Taylor ,NZ,7,13,2,304,80,27.63,618,49.19,0,1,0,34,2
M Jansen ,SA,5,8,2,118,37*,19.66,249,47.38,0,0,0,17,0
M Labuschagne ,AUS,8,14,1,505,103,38.84,973,51.9,1,3,2,57,3
M Shumba ,ZIM,3,6,0,101,41,16.83,240,42.08,0,0,0,18,0
MA Agarwal ,INDIA,7,13,0,436,150,33.53,851,51.23,1,2,0,66,5
MA Starc ,AUS,8,10,3,209,39*,29.85,416,50.24,0,0,0,19,1
MA Wood ,ENG,8,14,1,162,41,12.46,275,58.9,0,0,3,20,4
Mahmudul Hasan Joy ,BAN,2,3,0,84,78,28,241,34.85,0,1,1,8,0
Mahmudullah ,BAN,1,1,1,150,150*,-,278,53.95,1,0,0,17,1
MD Fisher ,ENG,1,1,1,0,0*,-,5,0,0,0,0,0,0
Mehidy Hasan Miraz ,BAN,7,11,1,176,47,17.6,476,36.97,0,0,2,21,0
MG Neser ,AUS,1,2,0,38,35,19,37,102.7,0,0,0,5,1
